episode,reward,steps,finished,offtrack_ratio,tiles_visited
612,-234.9999999999998,50,0,1.0,4
613,-244.9999999999998,50,0,1.0,3
614,-234.9999999999998,50,0,1.0,4
615,-244.9999999999998,50,0,1.0,3
616,-244.9999999999998,50,0,1.0,3
617,-244.9999999999998,50,0,1.0,3
618,-244.9999999999998,50,0,1.0,3
619,-244.9999999999998,50,0,1.0,3
620,-234.99999999999983,50,0,1.0,4
621,-244.9999999999998,50,0,1.0,3
622,-234.99999999999983,50,0,1.0,4
623,-234.9999999999998,50,0,1.0,4
624,-234.99999999999983,50,0,1.0,4
625,-224.99999999999983,50,0,1.0,5
626,-234.99999999999983,50,0,1.0,4
627,-234.99999999999983,50,0,1.0,4
628,-234.99999999999983,50,0,1.0,4
629,-234.99999999999983,50,0,1.0,4
630,-254.9999999999998,50,0,1.0,2
631,-234.99999999999983,50,0,1.0,4
632,-234.99999999999983,50,0,1.0,4
633,-234.99999999999983,50,0,1.0,4
634,-204.99999999999983,50,0,1.0,7
635,-244.9999999999998,50,0,1.0,3
636,-234.9999999999998,50,0,1.0,4
637,-234.99999999999983,50,0,1.0,4
638,-224.99999999999983,50,0,1.0,5
639,-234.9999999999998,50,0,1.0,4
640,-214.99999999999983,50,0,1.0,6
641,-234.99999999999983,50,0,1.0,4
642,-244.9999999999998,50,0,1.0,3
643,-244.9999999999998,50,0,1.0,3
644,-234.9999999999998,50,0,1.0,4
645,-234.99999999999983,50,0,1.0,4
646,-224.99999999999983,50,0,1.0,5
647,-244.9999999999998,50,0,1.0,3
648,-214.99999999999983,50,0,1.0,6
649,-214.99999999999983,50,0,1.0,6
650,-214.99999999999983,50,0,1.0,6
651,-234.9999999999998,50,0,1.0,4
652,-224.99999999999983,50,0,1.0,5
653,-224.9999999999998,50,0,1.0,5
654,-234.9999999999998,50,0,1.0,4
655,-224.99999999999983,50,0,1.0,5
656,-244.9999999999998,50,0,1.0,3
657,-244.99999999999983,50,0,1.0,3
